customer_id,first_name,last_name,age,gender,city,state,signup_date,segment,membership_tier,preferred_channel,is_active,lifetime_value
1,Ana,Rodrigues,38.0,M,Goiania,GO,2023-08-17,consumer,silver,organic,0,61.38
2,Tiago,Tanaka,49.0,F,Goiania,GO,2023-06-28,consumer,platinum,direct,1,105.68
3,Sofia,Almeida,29.0,,Campinas,SP,2023-02-24,consumer,silver,social,1,50.43
4,Rafael,Silva,23.0,M,Fortaleza,CE,2024-07-23,consumer,bronze,social,1,80.52
5,Eduarda,Almeida,34.0,Other,Porto Alegre,RS,2024-07-23,consumer,bronze,email,0,28.36
6,Lucas,Kim,27.0,F,Recife,PE,2023-07-18,consumer,silver,organic,1,55.98
7,Beatriz,Park,42.0,Other,Campinas,SP,2023-09-13,consumer,silver,email,1,32.06
8,Tiago,Almeida,41.0,F,Fortaleza,CE,2025-01-10,consumer,bronze,organic,1,73.91
9,Julia,Pereira,19.0,,Curitiba,PR,2023-06-13,small_business,bronze,paid_search,1,43.3
10,Felipe,Kim,37.0,Other,Goiania,GO,2025-01-17,consumer,platinum,referral,1,52.93
11,Valentina,Costa,44.0,M,Goiania,GO,2023-05-27,small_business,bronze,paid_search,0,116.6
12,Beatriz,Melo,37.0,Other,Recife,PE,2024-07-06,consumer,bronze,paid_search,1,119.74
13,Camila,Santos,42.0,,Sao Paulo,SP,2024-04-14,small_business,silver,organic,1,150.47
14,Gabriela,Araujo,37.0,,Belo Horizonte,MG,2024-10-06,small_business,silver,social,1,167.81
15,Pedro,Melo,34.0,,Brasilia,DF,2024-05-20,consumer,silver,direct,1,55.73
16,Hiro,Lima,48.0,F,Recife,PE,2025-01-11,consumer,bronze,paid_search,0,48.86
17,Yuki,Costa,43.0,,Rio de Janeiro,RJ,2023-11-10,small_business,bronze,direct,1,81.23
18,Valentina,Matsuda,26.0,F,Recife,PE,2025-02-20,consumer,silver,direct,1,54.78
19,Luisa,Rodrigues,34.0,Other,Rio de Janeiro,RJ,2026-01-04,consumer,bronze,organic,1,57.93
20,Olivia,Silva,32.0,Other,Recife,PE,2023-11-20,consumer,silver,paid_search,1,84.98
21,Beatriz,Souza,18.0,Other,Brasilia,DF,2025-11-05,consumer,bronze,email,1,65.63
22,Eduarda,Kim,32.0,F,Campinas,SP,2024-02-12,consumer,silver,direct,1,79.91
23,Daniel,Kim,45.0,Other,Salvador,BA,2023-02-09,consumer,silver,paid_search,1,104.71
24,Carla,Araujo,39.0,M,Belo Horizonte,MG,2023-06-11,consumer,gold,paid_search,1,248.21
25,Isabela,Barbosa,34.0,,Salvador,BA,2023-12-05,consumer,bronze,social,1,49.3
26,Juyoung,Ferreira,23.0,Other,Campinas,SP,2024-02-16,consumer,bronze,direct,0,88.6
27,Daniel,Pereira,26.0,Other,Campinas,SP,2025-07-13,small_business,gold,paid_search,1,54.97
28,Tiago,Pereira,,F,Campinas,SP,2024-04-16,consumer,bronze,organic,1,146.1
29,Carla,Barbosa,36.0,,Sao Paulo,SP,2024-11-07,consumer,bronze,referral,1,106.6
30,Hiro,Araujo,36.0,M,Brasilia,DF,2025-08-26,consumer,bronze,organic,1,82.09
31,Lucas,Tanaka,36.0,F,Goiania,GO,2025-06-01,consumer,bronze,email,1,43.44
32,Bruno,Park,22.0,F,Goiania,GO,2023-07-21,consumer,bronze,paid_search,1,98.88
33,Olivia,Lima,43.0,Other,Belo Horizonte,MG,2026-01-03,consumer,silver,organic,1,85.43
34,Rafael,Melo,25.0,F,Rio de Janeiro,RJ,2025-06-26,enterprise,bronze,direct,1,40.87
35,Nicolas,Araujo,34.0,,Belo Horizonte,MG,2023-12-07,consumer,silver,organic,1,159.51
36,Ana,Park,23.0,,Brasilia,DF,2025-02-15,enterprise,platinum,direct,1,89.08
37,Eduarda,Almeida,38.0,F,Florianopolis,SC,2025-09-23,enterprise,gold,paid_search,1,63.84
38,Pedro,Nagata,29.0,,Campinas,SP,2023-05-05,consumer,silver,direct,1,111.48
39,Bruno,Barbosa,25.0,M,Campinas,SP,2023-11-19,consumer,platinum,organic,1,73.13
40,Marina,Souza,37.0,M,Rio de Janeiro,RJ,2024-04-26,consumer,silver,paid_search,1,93.36
41,Nicolas,Ribeiro,39.0,Other,Sao Paulo,SP,2023-06-17,small_business,gold,social,1,90.76
42,Hiro,Rodrigues,39.0,Other,Belo Horizonte,MG,2024-10-05,consumer,gold,direct,1,131.81
43,Olivia,Cardoso,26.0,F,Rio de Janeiro,RJ,2023-01-20,consumer,bronze,social,1,57.85
44,Isabela,Lima,40.0,F,Belo Horizonte,MG,2025-11-02,consumer,bronze,direct,1,25.34
45,Felipe,Matsuda,34.0,Other,Porto Alegre,RS,2024-08-06,small_business,bronze,email,0,34.93
46,Ana,Melo,34.0,F,Goiania,GO,2025-12-19,consumer,silver,referral,1,45.11
47,Daniel,Souza,18.0,M,Brasilia,DF,2024-06-25,small_business,bronze,social,0,74.58
48,Juyoung,Nagata,39.0,Other,Fortaleza,CE,2024-03-07,consumer,bronze,organic,1,112.11
49,Carla,Tanaka,51.0,F,Curitiba,PR,2023-04-15,consumer,bronze,direct,1,
50,Felipe,Matsuda,55.0,,Brasilia,DF,2024-06-20,consumer,bronze,paid_search,1,123.9
51,Andre,Lima,38.0,Other,Rio de Janeiro,RJ,2023-06-04,consumer,bronze,social,1,106.14
52,Eduarda,Santos,31.0,F,Brasilia,DF,2025-05-30,consumer,silver,email,0,31.54
53,Mateus,Souza,48.0,,Belo Horizonte,MG,2024-05-26,consumer,gold,email,0,28.18
54,Beatriz,Pereira,35.0,M,Florianopolis,SC,2023-11-13,consumer,silver,direct,1,46.52
55,Pedro,Nagata,49.0,,Sao Paulo,SP,2024-01-03,consumer,silver,direct,1,31.73
56,Isabela,Costa,36.0,F,Florianopolis,SC,2024-05-23,consumer,bronze,direct,0,45.9
57,Hiro,Almeida,28.0,,Sao Paulo,SP,2025-08-21,consumer,silver,email,1,111.03
58,Ana,Almeida,42.0,Other,Belo Horizonte,MG,2024-04-01,consumer,bronze,referral,1,97.3
59,Yuki,Barbosa,33.0,Other,Curitiba,PR,2024-12-20,consumer,gold,paid_search,1,71.55
60,Felipe,Ribeiro,31.0,Other,Rio de Janeiro,RJ,2024-06-18,small_business,gold,organic,1,128.93
61,Lucas,Nagata,47.0,F,Fortaleza,CE,2025-06-08,consumer,gold,social,0,67.53
62,Isabela,Santos,37.0,F,Fortaleza,CE,2024-01-25,enterprise,silver,email,1,61.68
63,Lucas,Tanaka,23.0,Other,Campinas,SP,2024-02-08,consumer,gold,referral,1,32.18
64,Pedro,Ferreira,33.0,,Goiania,GO,2023-09-13,consumer,silver,social,1,38.93
65,Sofia,Lima,25.0,,Florianopolis,SC,2024-08-28,consumer,gold,email,0,54.99
66,Marina,Melo,36.0,Other,Brasilia,DF,2024-09-08,consumer,gold,email,0,49.2
67,Olivia,Matsuda,19.0,M,Recife,PE,2024-10-21,small_business,platinum,direct,1,28.66
68,Mateus,Oliveira,26.0,Other,Florianopolis,SC,2023-12-14,small_business,silver,social,1,58.67
69,Hiro,Almeida,33.0,F,Belo Horizonte,MG,2024-09-27,consumer,silver,organic,0,36.54
70,Olivia,Tanaka,37.0,M,Salvador,BA,2023-05-30,small_business,silver,direct,1,40.6
71,Marina,Pereira,40.0,F,Recife,PE,2025-10-09,consumer,platinum,organic,1,52.42
72,Hiro,Costa,36.0,,Rio de Janeiro,RJ,2025-05-20,consumer,silver,direct,1,67.19
73,Olivia,Lima,48.0,Other,Belo Horizonte,MG,2023-09-06,consumer,silver,email,1,118.58
74,Nicolas,Melo,55.0,M,Salvador,BA,2025-10-30,consumer,bronze,social,1,41.06
75,Isabela,Pereira,26.0,Other,Salvador,BA,2025-07-10,enterprise,platinum,email,1,72.98
76,Yuki,Pereira,43.0,F,Campinas,SP,2025-09-19,consumer,bronze,direct,1,47.17
77,Karen,Nagata,20.0,F,Belo Horizonte,MG,2024-07-10,small_business,gold,organic,0,200.11
78,Juyoung,Lima,45.0,F,Belo Horizonte,MG,2025-02-23,enterprise,bronze,email,1,50.32
79,Nicolas,Santos,32.0,,Porto Alegre,RS,2025-08-12,consumer,bronze,organic,1,140.15
80,Julia,Ribeiro,34.0,F,Fortaleza,CE,2023-02-10,small_business,platinum,direct,1,68.59
81,Julia,Tanaka,23.0,M,Curitiba,PR,2025-03-09,enterprise,silver,paid_search,1,61.23
82,Paulo,Silva,18.0,,Curitiba,PR,2025-06-11,consumer,silver,social,1,143.54
83,Valentina,Melo,,,Salvador,BA,2023-09-19,consumer,silver,direct,1,69.44
84,Carla,Tanaka,40.0,,Goiania,GO,2023-02-25,consumer,bronze,organic,0,151.59
85,Karen,Almeida,44.0,Other,Curitiba,PR,2025-02-15,consumer,silver,direct,1,23.21
86,Luisa,Tanaka,49.0,F,Recife,PE,2024-07-23,consumer,silver,direct,1,69.72
87,Lucas,Pereira,18.0,F,Florianopolis,SC,2023-04-17,consumer,platinum,social,1,64.5
88,Camila,Silva,20.0,M,Belo Horizonte,MG,2024-02-13,consumer,bronze,organic,0,99.66
89,Tiago,Almeida,37.0,Other,Goiania,GO,2023-08-23,consumer,bronze,direct,1,37.94
90,Luisa,Costa,24.0,F,Brasilia,DF,2023-08-23,consumer,bronze,organic,1,90.24
91,Marina,Almeida,32.0,M,Curitiba,PR,2025-02-07,consumer,bronze,social,1,35.83
92,Rafael,Ribeiro,27.0,Other,Curitiba,PR,2023-09-05,small_business,gold,organic,1,75.82
93,Carla,Barbosa,40.0,F,Goiania,GO,2025-01-28,consumer,bronze,paid_search,1,105.06
94,Nicolas,Kim,18.0,,Salvador,BA,2023-08-05,consumer,gold,organic,1,151.43
95,Pedro,Barbosa,39.0,Other,Recife,PE,2023-12-27,consumer,silver,organic,1,80.38
96,Olivia,Tanaka,18.0,Other,Campinas,SP,2025-09-17,consumer,bronze,organic,1,75.35
97,Isabela,Matsuda,27.0,,Belo Horizonte,MG,2023-06-27,consumer,gold,email,1,34.85
98,Karen,Silva,33.0,Other,Goiania,GO,2025-02-15,consumer,silver,email,1,162.06
99,Rafael,Rodrigues,23.0,Other,Belo Horizonte,MG,2024-12-27,consumer,bronze,email,1,59.49
100,Carla,Pereira,20.0,,Campinas,SP,2024-01-27,consumer,bronze,paid_search,0,93.48
101,Yuki,Araujo,28.0,F,Belo Horizonte,MG,2025-09-02,consumer,gold,organic,1,39.71
102,Juyoung,Pereira,36.0,Other,Belo Horizonte,MG,2025-04-08,consumer,bronze,direct,1,64.71
103,Nicolas,Melo,28.0,,Campinas,SP,2024-12-05,consumer,silver,direct,1,104.92
104,Daniel,Almeida,18.0,M,Curitiba,PR,2024-04-17,small_business,bronze,paid_search,1,92.39
105,Isabela,Ribeiro,18.0,Other,Florianopolis,SC,2025-09-18,consumer,silver,paid_search,1,68.64
